1.998801	"o"	"create table valid.Names_Name(Expected numeric primary key not null) without rowid;\r\n"
2.000597	"o"	"sqlite> "
2.001653	"o"	"insert into valid.Names_Name(Expected) values('A'),('B'),('C');\r\n"
2.002509	"o"	"sqlite> "
2.002893	"o"	"\r\nsqlite> "
2.003857	"o"	"create trigger Validate_Insert_Names_Name before insert on Names\r\n"
2.004389	"o"	"   ...> "
2.005476	"o"	"when not(select NEW.Name in (select Expected from valid.Names_Name))\r\n"
2.006153	"o"	"   ...> begin\r\n"
2.006845	"o"	"   ...> "
2.010344	"o"	"    select raise(ABORT, 'Invalid value. The Names.Name must match one of the Expected column values in the valid.Names_Name tabl\rle.');\r\n"
2.010964	"o"	"   ...> end;\r\n"
2.011515	"o"	"Error: trigger Validate_Insert_Names_Name cannot reference objects in database valid\r\n"
2.011986	"o"	"sqlite> \r\n"
2.019484	"o"	"========== trigger_param.sql ==========\r\n"
2.058647	"o"	"create table Names(Name text);\r\n"
2.061061	"o"	"sqlite> "
2.062462	"o"	"create table Names_Name_VV(Expected numeric primary key not null) without rowid;\r\n"
2.064343	"o"	"sqlite> "
2.065391	"o"	"insert into Names_Name_VV(Expected) values('A'),('B'),('C');\r\n"
2.066273	"o"	"sqlite> "
2.066788	"o"	"\r\nsqlite> "
2.0672	"o"	".param set @actual 'X'\r\n"
2.069474	"o"	"sqlite> "
2.070607	"o"	"create trigger Validate_Insert_Names_Name before insert on Names\r\n"
2.071074	"o"	"   ...> "
2.072258	"o"	"when not(select @actual in (select Expected from Names_Name_VV))\r\n"
2.072963	"o"	"   ...> begin\r\n"
2.073515	"o"	"   ...> "
2.075494	"o"	"    select raise(ABORT, 'Invalid value. The Names.Name must match one of the Expected column values in the Names_Name_VV table.'\r');\r\n"
2.076113	"o"	"   ...> end;\r\n"
2.077076	"o"	"Error: trigger cannot use variables\r\n"
2.077563	"o"	"sqlite> \r\n"
2.093494	"o"	"\u001b[01;34m$\u001b[00m "
3.233837	"o"	"exit\r\n"
